key,min_samples,eps,k,davies_bouldin_score,silhouette_score
"min_samples=300, eps=0.15",300,0.15,23,1.53585751,-0.16471641
"min_samples=300, eps=0.16",300,0.16,22,1.5622299,-0.07931637
"min_samples=300, eps=0.17",300,0.17,19,1.47707662,-0.05094682
"min_samples=300, eps=0.18",300,0.18,16,1.54673797,0.04559405
"min_samples=300, eps=0.19",300,0.19,14,1.66083437,0.08364551
"min_samples=300, eps=0.2",300,0.2,12,1.65091823,0.13508909
"min_samples=300, eps=0.21",300,0.21,11,1.70244202,0.2380423
"min_samples=300, eps=0.22",300,0.22,13,1.75641213,0.14205151
"min_samples=300, eps=0.23",300,0.23,10,1.92498639,0.20174944
"min_samples=300, eps=0.24",300,0.24,10,1.98572495,0.20621204
"min_samples=300, eps=0.25",300,0.25,9,2.04005789,0.29512802
"min_samples=320, eps=0.15",320,0.15,22,1.50624956,-0.16951552
"min_samples=320, eps=0.16",320,0.16,21,1.54525683,-0.08484001
"min_samples=320, eps=0.17",320,0.17,17,1.46521019,-0.03392691
"min_samples=320, eps=0.18",320,0.18,17,1.52880306,0.03372068
"min_samples=320, eps=0.19",320,0.19,14,1.62829638,0.0810134
"min_samples=320, eps=0.2",320,0.2,12,1.63226443,0.13264638
"min_samples=320, eps=0.21",320,0.21,11,1.6904051,0.23651055
"min_samples=320, eps=0.22",320,0.22,11,1.76555118,0.25082625
"min_samples=320, eps=0.23",320,0.23,10,1.89831805,0.19847347
"min_samples=320, eps=0.24",320,0.24,10,1.96593913,0.20530535
"min_samples=320, eps=0.25",320,0.25,9,2.02928417,0.29457659
"min_samples=340, eps=0.15",340,0.15,22,1.47528888,-0.18320522
"min_samples=340, eps=0.16",340,0.16,20,1.52842318,-0.06899715
"min_samples=340, eps=0.17",340,0.17,17,1.44251184,-0.03953632
"min_samples=340, eps=0.18",340,0.18,17,1.51150797,0.02555376
"min_samples=340, eps=0.19",340,0.19,14,1.59366647,0.07772621
"min_samples=340, eps=0.2",340,0.2,12,1.61729444,0.1315093
"min_samples=340, eps=0.21",340,0.21,12,1.67290533,0.1444364
"min_samples=340, eps=0.22",340,0.22,11,1.74513059,0.24946174
"min_samples=340, eps=0.23",340,0.23,10,1.8731733,0.19570896
"min_samples=340, eps=0.24",340,0.24,10,1.94831536,0.20453008
"min_samples=340, eps=0.25",340,0.25,9,2.01704578,0.29405915
"min_samples=360, eps=0.15",360,0.15,19,1.51271467,-0.18139459
"min_samples=360, eps=0.16",360,0.16,19,1.51770268,-0.07244025
"min_samples=360, eps=0.17",360,0.17,17,1.42487007,-0.04552359
"min_samples=360, eps=0.18",360,0.18,16,1.49131292,0.02633747
"min_samples=360, eps=0.19",360,0.19,14,1.5823478,0.07515523
"min_samples=360, eps=0.2",360,0.2,12,1.60196676,0.12909281
"min_samples=360, eps=0.21",360,0.21,12,1.6545905,0.14258211
"min_samples=360, eps=0.22",360,0.22,11,1.73369717,0.24842278
"min_samples=360, eps=0.23",360,0.23,9,1.87720916,0.27692697
"min_samples=360, eps=0.24",360,0.24,10,1.92944162,0.20064357
"min_samples=360, eps=0.25",360,0.25,9,1.99796944,0.29280897
"min_samples=380, eps=0.15",380,0.15,20,1.47012055,-0.1912645
"min_samples=380, eps=0.16",380,0.16,18,1.51720613,-0.07416137
"min_samples=380, eps=0.17",380,0.17,15,1.37646258,0.07591136
"min_samples=380, eps=0.18",380,0.18,16,1.46915332,0.02149483
"min_samples=380, eps=0.19",380,0.19,15,1.5316776,0.07019759
"min_samples=380, eps=0.2",380,0.2,13,1.58072884,0.12247436
"min_samples=380, eps=0.21",380,0.21,12,1.64239166,0.14162319
"min_samples=380, eps=0.22",380,0.22,11,1.71630386,0.24673435
"min_samples=380, eps=0.23",380,0.23,9,1.86397474,0.27631019
"min_samples=380, eps=0.24",380,0.24,9,1.91890574,0.28431721
"min_samples=380, eps=0.25",380,0.25,9,1.978589,0.29199495
"min_samples=400, eps=0.15",400,0.15,19,1.47908468,-0.20605335
"min_samples=400, eps=0.16",400,0.16,18,1.54619155,-0.0896678
"min_samples=400, eps=0.17",400,0.17,15,1.36530374,0.06644223
"min_samples=400, eps=0.18",400,0.18,16,1.45361454,0.01676383
"min_samples=400, eps=0.19",400,0.19,14,1.51113064,0.07205468
"min_samples=400, eps=0.2",400,0.2,13,1.56174764,0.12017898
"min_samples=400, eps=0.21",400,0.21,12,1.62522184,0.14033277
"min_samples=400, eps=0.22",400,0.22,11,1.70053897,0.24541783
"min_samples=400, eps=0.23",400,0.23,9,1.84423698,0.27531901
"min_samples=400, eps=0.24",400,0.24,9,1.90392559,0.28353797
"min_samples=400, eps=0.25",400,0.25,9,1.96564153,0.28879765
"min_samples=420, eps=0.15",420,0.15,18,1.47615935,-0.21238208
"min_samples=420, eps=0.16",420,0.16,17,1.56281814,-0.10216195
"min_samples=420, eps=0.17",420,0.17,14,1.38051194,0.06127819
"min_samples=420, eps=0.18",420,0.18,15,1.41060796,0.11627953
"min_samples=420, eps=0.19",420,0.19,14,1.50288265,0.06812489
"min_samples=420, eps=0.2",420,0.2,13,1.55162875,0.11705406
"min_samples=420, eps=0.21",420,0.21,12,1.61934595,0.13875394
"min_samples=420, eps=0.22",420,0.22,11,1.68425567,0.24436283
"min_samples=420, eps=0.23",420,0.23,9,1.8335948,0.27476299
"min_samples=420, eps=0.24",420,0.24,9,1.89294654,0.28311576
"min_samples=420, eps=0.25",420,0.25,9,1.94490063,0.28850602
"min_samples=440, eps=0.15",440,0.15,16,1.4891915,-0.22763844
"min_samples=440, eps=0.16",440,0.16,17,1.54442764,-0.11407522
"min_samples=440, eps=0.17",440,0.17,13,1.36053943,0.05604723
"min_samples=440, eps=0.18",440,0.18,14,1.42442145,0.11444322
"min_samples=440, eps=0.19",440,0.19,14,1.48699338,0.06576923
"min_samples=440, eps=0.2",440,0.2,12,1.54039261,0.19907197
"min_samples=440, eps=0.21",440,0.21,12,1.60889949,0.13682272
"min_samples=440, eps=0.22",440,0.22,11,1.67230146,0.24303556
"min_samples=440, eps=0.23",440,0.23,9,1.8220954,0.2737222
"min_samples=440, eps=0.24",440,0.24,9,1.87909658,0.28234473
"min_samples=440, eps=0.25",440,0.25,9,1.92689679,0.28759002
"min_samples=460, eps=0.15",460,0.15,17,1.47349204,-0.23533917
"min_samples=460, eps=0.16",460,0.16,15,1.57813722,-0.11724704
"min_samples=460, eps=0.17",460,0.17,12,1.39384693,0.04407436
"min_samples=460, eps=0.18",460,0.18,14,1.41331296,0.11025187
"min_samples=460, eps=0.19",460,0.19,14,1.46701148,0.06018793
"min_samples=460, eps=0.2",460,0.2,13,1.4913276,0.19436574
"min_samples=460, eps=0.21",460,0.21,11,1.60799078,0.22038548
"min_samples=460, eps=0.22",460,0.22,11,1.661299,0.24156782
"min_samples=460, eps=0.23",460,0.23,9,1.80151458,0.27263097
"min_samples=460, eps=0.24",460,0.24,9,1.85858507,0.28168395
"min_samples=460, eps=0.25",460,0.25,9,1.91721425,0.28711732
"min_samples=480, eps=0.15",480,0.15,17,1.45178643,-0.25262094
"min_samples=480, eps=0.16",480,0.16,15,1.55342036,-0.1290545
"min_samples=480, eps=0.17",480,0.17,12,1.38658594,0.03788895
"min_samples=480, eps=0.18",480,0.18,13,1.44208173,0.1004212
"min_samples=480, eps=0.19",480,0.19,15,1.50199585,0.03938485
"min_samples=480, eps=0.2",480,0.2,13,1.47683243,0.19218237
"min_samples=480, eps=0.21",480,0.21,12,1.56549442,0.21318504
"min_samples=480, eps=0.22",480,0.22,11,1.65644778,0.23718831
"min_samples=480, eps=0.23",480,0.23,9,1.78953909,0.27150089
"min_samples=480, eps=0.24",480,0.24,9,1.84531628,0.28069417
"min_samples=480, eps=0.25",480,0.25,9,1.90879216,0.28673396
"min_samples=500, eps=0.15",500,0.15,15,1.45241932,-0.24305175
"min_samples=500, eps=0.16",500,0.16,15,1.56288184,-0.15040497
"min_samples=500, eps=0.17",500,0.17,11,1.41497168,0.02798279
"min_samples=500, eps=0.18",500,0.18,13,1.42957843,0.09505292
"min_samples=500, eps=0.19",500,0.19,14,1.5254865,0.0297536
"min_samples=500, eps=0.2",500,0.2,12,1.49731585,0.19250678
"min_samples=500, eps=0.21",500,0.21,12,1.55691268,0.21172904
"min_samples=500, eps=0.22",500,0.22,11,1.64746985,0.23604382
"min_samples=500, eps=0.23",500,0.23,9,1.78456257,0.26831348
"min_samples=500, eps=0.24",500,0.24,9,1.8324802,0.27964484
"min_samples=500, eps=0.25",500,0.25,9,1.89329912,0.286402
